Date,Open,High,Low,Adj Close,Volume,rsi_14,sma_50,adx_20,volume,corr_24,prev_open_close,prev_close_high,prev_close_low,momentum_20,y_1d_dir,ret_1d_fwd
2000-07-11,147.46875,149.125,147.15625,93.78721618652344,5431600,56.40254178057597,91.39007797246718,9.069331377878934,5431600,-0.24133295322457374,0.5800402838587072,-0.5910591615779247,-0.576367324618968,0.025056727650906607,1.0,0.00653833870310927
2000-07-12,149.28125,150.125,148.6875,94.40042877197266,5883000,58.71633235694633,91.42056396489883,8.920188587480801,5883000,-0.23812539506082134,0.5723758097981612,-0.5900354660641715,-0.5690437991819328,0.012753326412807686,1.0,0.004401348631911217
2000-07-13,149.984375,150.375,149.1875,94.81591797,5356000,60.25545684574642,91.49646224983593,8.838759253490005,5356000,-0.24333667547350699,0.5813619910624959,-0.5902999801264873,-0.5750722950545019,0.015490511355105818,1.0,0.009805586083307505
2000-07-14,150.4375,151.25,149.671875,95.74564361572266,5341900,63.531801229849926,91.63358383186718,8.970656673340496,5341900,-0.27213462490915297,0.5818480505293999,-0.5859678756427695,-0.5734436072981259,0.023285386229176197,-1.0,-0.0016527255940517183
2000-07-17,150.984375,151.984375,150.6875,95.58740234,4208300,62.58613084705087,91.7541206359914,9.265712126694963,4208300,-0.26490903859035436,0.5712203116392884,-0.579706337418811,-0.5632238642701229,0.03005771570013338,-1.0,-0.008174744422504654
2000-07-18,150.625,150.625,149.34375,94.80599975585938,4262100,57.99539914386534,91.83731979370624,9.150922720620608,4262100,-0.3814349975131383,0.5795426102589912,-0.5900042398829771,-0.5764368139643704,0.008735099814056735,-1.0,-0.008033614208188156
2000-07-19,149.46875,149.90625,148.25,94.04436492919922,8506800,53.849292712523045,91.91890304565938,8.744190893850726,8506800,-0.4150321748169726,0.5887707569972732,-0.5887707569972732,-0.5752563169481263,0.004224369904674008,1.0,0.013883003911140834
2000-07-20,149.0,150.625,148.8125,95.34998321533205,4538900,59.23002585334383,92.0410069274953,8.541273786203258,4538900,-0.4496610331270066,0.5893429671466942,-0.5939950268456392,-0.5763836579853476,0.01859720181711877,-1.0,-0.01950196808007998
2000-07-21,149.75,149.75,147.6875,93.49047088623048,5656900,50.244927457756866,92.16618148804218,8.18122611320376,5656900,-0.44878942621705487,0.5626641450319748,-0.5797066231237665,-0.5606977052521527,0.014162961830044507,-1.0,-0.005713081207963322
2000-07-24,148.125,148.859375,146.5625,92.95635223388672,5628500,47.9928623919121,92.24080749512227,8.121012797254586,5628500,-0.43358648177591624,0.6017675232616201,-0.6017675232616201,-0.5797064513636094,0.01709939248760417,1.0,0.003192143779021217
2000-07-25,147.75,147.84375,146.78125,93.25308227539062,4757100,49.351073906299895,92.30202667236836,8.063810147102872,4757100,-0.43579788884521337,0.5934898093602458,-0.601390022550112,-0.5766808451264879,0.007372450377737927,-1.0,-0.009758348040738052
